,Call_OI,Put_OI,Call_IV,Put_IV,c_gamma,c_vega,c_theta,c_delta,p_delta,p_theta,p_vega,p_gamma,maxpain,ltp
2023-10-04 11:07:39,8107510.0,5900159.0,2349.46,2318.9,0.010303419248347545,23.246133488286596,-208.86636411387394,2.0687248173614696,25.819216580886113,-1017.5617560385185,59.92858635487882,0.014374323898946884,44000,43976.55
2023-10-04 11:07:39,8107510.0,5900159.0,2349.46,2318.9,0.010303419248347545,23.246133488286596,-208.86636411387394,2.0687248173614696,25.819216580886113,-1017.5617560385185,59.92858635487882,0.014374323898946884,44000,43976.55
2023-10-04 11:08:09,8142054.0,5932180.0,2349.46,2318.9,0.01075139849482376,22.67596859179709,-191.57847590674658,2.0767707395898007,25.528609299698836,-1215.1530949369478,63.6618317820284,0.014165403866561732,44000,43976.55
2023-10-04 11:08:09,8131531.0,5951814.0,2349.46,2318.9,0.010415173014033385,22.577029304414474,-194.06878476392518,1.9985171055479256,25.808230145307917,-1055.4118255375079,60.62391384541222,0.014287445839200608,44000,43970.9
2023-10-04 11:08:39,8130788.0,5950936.0,2349.46,2318.9,0.010937935059907034,22.059198382005267,-182.12657256426556,2.144415722956383,25.28586053149153,-1368.5963791519903,66.49644568108774,0.014212055128859369,44000,43983.0
2023-10-04 11:09:09,8130788.0,5950936.0,2349.46,2318.9,0.010859790925965562,22.153965278533907,-184.52483941200353,2.129792858001425,25.31228498880786,-1336.0941738790002,65.85740276641641,0.014277286565778091,44000,43983.0
2023-10-04 11:09:38,8130788.0,5950936.0,2349.46,2318.9,0.010859773249549676,22.133734525262508,-184.51851791324546,2.1297349910662677,25.312466837982868,-1336.0811932291074,65.79444903823853,0.014275525370144315,44000,43983.0
2023-10-04 11:10:09,8131961.0,5991568.0,1164.83,999.95,0.010801533947835118,22.07987452175762,-184.92637879768293,2.111173235174488,25.394583578175485,-1278.3739288520133,64.69575978035613,0.014294692112781782,44000,43981.4
2023-10-04 11:11:13,8169803.0,6014145.0,2331.79,2327.68,0.008619274995957937,18.776775879864935,-151.82570885373738,1.2719557512315793,24.83474519640894,-1710.7908573639315,70.73519839076063,0.013874598007723726,44000,43987.3
2023-10-04 11:13:13,8179649.0,6033665.0,2327.38,2332.98,0.008723658364018227,18.479458694555646,-146.13381798086323,1.2550121064442783,24.783579089644288,-1757.980813572668,70.89595329684573,0.013837041962228014,44000,43987.3
2023-10-04 11:18:13,8179407.0,6033320.0,2340.46,2262.71,0.01113594940954643,20.563667603348907,-161.7008297954022,2.095179728398859,25.292076007241924,-1356.8086464848052,64.58852316548796,0.014234944859525811,44000,43978.45
2023-10-04 11:20:44,8179407.0,6033320.0,2340.46,2262.71,0.01119091272233641,20.51164619529465,-161.02270655557183,2.100122844859363,25.314279132849215,-1335.4489944486916,64.03339546293161,0.01429558902643624,44000,43978.45
2023-10-04 11:23:44,8238790.0,6051166.0,2327.38,2332.98,0.011338934077231855,20.33974490194561,-155.247515839146,2.8862641533179296,23.7486924581095,-1137.8275583322063,59.177459761934955,0.014186381351866117,44000,43961.7
2023-10-04 11:26:13,8238790.0,6051166.0,2327.38,2332.98,0.011313633291043512,19.92677630490103,-150.906202235699,2.8654905290292816,24.686479779658733,-1177.4676932272018,60.281554298468734,0.014339382319872307,44000,43961.7
2023-10-04 11:27:13,8158283.0,6036161.0,2340.46,2262.71,0.01118250981063662,20.216989675781004,-161.17596993712175,3.7944168722606237,22.776890782715935,-1162.5205356365586,59.37603817209337,0.014236380654342184,44000,43956.3
2023-10-04 11:28:13,8158283.0,6036161.0,2327.38,2332.98,0.011182002228882215,20.176217815745186,-161.173850111878,3.7942900474823036,22.777250415081394,-1162.4989413208964,59.250047299886475,0.014236621855290288,44000,43956.3
2023-10-04 11:29:13,8158248.0,6036115.0,2327.38,2332.98,0.01143013717286312,19.66180536665741,-148.19171911911428,2.887585164703221,24.531485166074404,-1285.4931937730435,61.6913762829808,0.014262615891658115,44000,43962.5
2023-10-04 11:29:43,8159967.0,6036075.0,2340.46,2262.71,0.011209580585147538,19.71604484662527,-151.39620865197924,2.86889917154194,24.554992246539587,-1269.8381107762152,61.49887311419803,0.01437212045374281,44000,43962.5
2023-10-04 11:30:43,8155783.0,6049176.0,2305.53,2288.1,0.010325292080226589,20.116232927541066,-181.28669805942454,2.603993137996113,22.38855744363293,-860.337650789332,52.640668564041604,0.014408360992090863,44000,43938.8
2023-10-04 11:32:43,8155783.0,6049176.0,2305.53,2288.1,0.01014047382091876,20.08500347881219,-184.65089452656665,2.5986913976617387,23.425226541273304,-823.5595507800496,52.257618944924175,0.014690269117823007,44000,43938.8
2023-10-04 11:33:43,8119210.0,6031778.0,2305.53,2288.1,0.010785563234749773,19.810934754629024,-163.68161054550396,2.703703042932459,24.845689781522516,-1132.3223712574043,58.93463063622104,0.014721488154623152,44000,43950.55
2023-10-04 11:33:43,8119210.0,6031778.0,2305.51,2288.1,0.010768818576312178,19.862976459833963,-164.82506056732106,2.7088958570601585,24.83342818411589,-1138.2005583697398,59.011889810527734,0.014665303875172064,44000,43950.55
2023-10-04 11:35:43,8118979.0,6031603.0,2305.51,2288.1,0.011235658983754782,19.44488920934308,-151.2513146203557,2.7913224539885766,24.515005228329528,-1323.0880309116255,61.720995924636036,0.014430125955811057,44000,43957.3
2023-10-04 11:37:13,8124463.0,6036388.0,2305.53,2288.1,0.010363763431886497,19.862140674366252,-176.88600741294988,2.6449619017596566,25.076463388684083,-1007.4575380104227,55.78022210226385,0.01458383374230987,44000,43944.1
2023-10-04 11:37:13,8124463.0,6036388.0,2305.51,2288.1,0.010421543543692735,19.721584801194005,-173.99486249535585,2.6394136617980286,25.016909134529588,-1050.9342732273167,56.61948700701491,0.014583908651277788,44000,43944.1
2023-10-04 11:38:13,8124463.0,6036388.0,2305.51,2288.1,0.010613849677487686,19.485804642940224,-168.21344971035452,2.6319896461165806,24.988441914962976,-1069.4774569254785,56.85920196262808,0.014557733461484368,44000,43944.1
